"formula","logLik","RMSE","MAE","R","R2","AIC","n_predictors","intercept","sigma","sigma2","MWa","logKowb","Mptc","LogSaqd","LogSoce","Hdf","Hag","MVh","Texpi","Skin.thicknessj","model_rank"
"logkpl ~ MWa + Mptc + Hdf + Hag + MVh",-400.833344906646,0.84346529309,0.700075251516077,0.676105739957634,0.45711897160366,815.666689813292,5,-0.924844812090894,0.851460403515612,0.724984818754969,0.00119681776113741,NA,-0.00311142891529971,NA,NA,-0.228442477883416,-0.130202292352301,3.24153148403366e-05,NA,NA,291
"logkpl ~ MWa + Mptc + Hdf + Hag",-400.83351547938,0.84346574129006,0.699980163449772,0.676105313284806,0.457118394651945,813.667030958759,4,-0.923017232142403,0.85011254022355,0.722691331045337,0.0012240341935757,NA,-0.00311446372654516,NA,NA,-0.22865021202127,-0.13036810115078,NA,NA,NA,292
"logkpl ~ MWa + Mptc + LogSoce + Hdf + MVh + Skin.thicknessj",-400.862409768938,0.843541667895255,0.702784152597194,0.676033026305657,0.457020652655986,817.724819537877,6,-0.876925783648568,0.85289237584208,0.727425404769549,-0.000885128455552653,NA,-0.00229480815796726,NA,0.185264736057257,-0.240660077849468,NA,0.00191162609632776,NA,0.161574242051684,293
"logkpl ~ MWa + Mptc + LogSoce + Hdf + MVh",-400.865795813,0.843550565977249,0.702760494481756,0.6760245538311,0.457009197382537,815.731591626,5,-0.85989174394268,0.851546484694743,0.725131415595975,-0.000894765658165405,NA,-0.0022958075317398,NA,0.185039502960089,-0.24082952005935,NA,0.00191194924793059,NA,NA,294
"logkpl ~ MWa + LogSoce + Hdf + Hag + MVh + Texpi + Skin.thicknessj",-401.149906661476,0.844297506657483,0.701432542713813,0.675312642402371,0.456047164988473,820.299813322952,7,-9.58729661315874,0.855019174343825,0.731057788495597,-0.00046152951944558,NA,NA,NA,0.213880212373577,-0.180585900791652,-0.113246847286187,0.00166384943394284,0.026694596522306,0.331382218212583,295
"logkpl ~ MWa + LogSoce + Hdf + Hag + MVh + Texpi",-401.164127964113,0.844334912502765,0.701289288377908,0.675276954466738,0.455998965233873,818.328255928225,6,-9.54882639007094,0.853694413611727,0.728794151831871,-0.000483711685722548,NA,NA,NA,0.213476816952912,-0.180920476876498,-0.113226588568346,0.00166650128486497,0.0266814085464907,NA,296
"logkpl ~ MWa + Mptc + LogSoce + Hag + MVh + Texpi + Skin.thicknessj",-401.38986297184,0.844928878171187,0.704010110528721,0.674709802373581,0.455233317418996,820.77972594368,7,-8.61337568442981,0.855658563594764,0.732151577453055,0.00138783183684073,NA,-0.00248207921387613,NA,0.227925079276625,NA,-0.203451670328621,0.00172398844045898,0.0252043597404957,0.524033513239439,297
"logkpl ~ MWa + Mptc + LogSoce + Hag + MVh + Texpi",-401.425423417491,0.845022484749898,0.703937025024942,0.674620341612937,0.455112605317956,818.850846834982,6,-8.54988049912929,0.8543896076368,0.729981601637764,0.00135376045973191,NA,-0.0024850081673473,NA,0.22744167434977,NA,-0.203645886187818,0.00173169135224097,0.0251766774507637,NA,298
"logkpl ~ MWa + Mptc + LogSoce + Hdf + Skin.thicknessj",-401.485197273846,0.845179852213152,0.700283552222514,0.674469894840973,0.454909639046794,816.970394547693,5,-0.7683750898606,0.853191214747337,0.727935248922037,0.000603810139092358,NA,-0.00249075840889089,NA,0.180432568090962,-0.262737255140865,NA,NA,NA,0.166607637632257,299
"logkpl ~ MWa + Mptc + LogSoce + Hdf",-401.488783642982,0.845189295028944,0.700302836940449,0.674460865342105,0.45489745887802,814.977567285965,4,-0.75079138784486,0.851849676156224,0.725647870767464,0.000594132204484527,NA,-0.00249182307736732,NA,0.180199474953704,-0.26291582509813,NA,NA,NA,NA,300
"logkpl ~ MWa + LogSoce + Hdf + Hag + Texpi + Skin.thicknessj",-401.60788463598,0.845502944752154,0.697661439246764,0.674160818154159,0.454492808734284,819.21576927196,6,-10.2113034691671,0.854875393565839,0.730811938524347,0.000869075188176558,NA,NA,NA,0.211325397216462,-0.193921982318319,-0.123531870317994,NA,0.0289049953650872,0.348414389701658,301
"logkpl ~ MWa + LogSoce + Hdf + Hag + Texpi",-401.623561800507,0.845544238871959,0.697518045650533,0.674121296656251,0.454439522605505,817.247123601013,5,-10.1718984121805,0.85355905538534,0.728563061030313,0.000847980912655072,NA,NA,NA,0.210896952078753,-0.194296132945286,-0.123527804861606,NA,0.0288948327435399,NA,302
"logkpl ~ MWa + Mptc + LogSoce + Hag + Texpi + Skin.thicknessj",-401.881980961085,0.84622521335502,0.701441111686486,0.673468941059951,0.453560414572412,819.76396192217,6,-9.18680998602181,0.855605668557744,0.732061060068145,0.00291224735645422,NA,-0.00267289835781001,NA,0.226337616292772,NA,-0.221058172647442,NA,0.0273862733149622,0.556482381017388,303
"logkpl ~ MWa + Mptc + LogSoce + Hag + Texpi",-401.921969402271,0.846330638074695,0.701315546651701,0.673367843487996,0.453424252643675,817.843938804543,5,-9.12208598522732,0.8543529087756,0.729918892733329,0.00288329118587392,NA,-0.00267691517568583,NA,0.22581660201878,NA,-0.221348033186566,NA,0.0273672242547296,NA,304
"logkpl ~ MWa + LogSaqd + Hag + MVh + Texpi + Skin.thicknessj",-404.09199639273,0.852071392296783,0.705797818493482,0.667820437700444,0.445984137010413,824.18399278546,6,-11.0907399983469,0.86151665272961,0.742210942930432,-0.00716262189980177,NA,NA,-0.32684542933979,NA,NA,-0.113641635952837,0.00198662246820109,0.0274528233543208,-0.126454348237041,305
"logkpl ~ MWa + LogSaqd + Hag + MVh + Texpi",-404.094033444383,0.852076799520912,0.705803905985127,0.667815173117519,0.445977105445982,822.188066888766,5,-11.1061545720176,0.86015353742475,0.739864107944312,-0.00715283134236957,NA,NA,-0.326750725617298,NA,NA,-0.113679875695342,0.00198516199864581,0.0274604652001316,NA,306
"logkpl ~ MWa + Mptc + LogSoce + Hag + MVh + Skin.thicknessj",-404.167625100542,0.852272166908081,0.70992430525914,0.667624909209082,0.445723019396435,824.335250201083,6,-0.956359145160792,0.861719652939032,0.742560760261366,0.000445598935308267,NA,-0.00242801957720648,NA,0.23396205798795,NA,-0.177878810322142,0.00257242550062764,NA,0.478688584916643,307
"logkpl ~ MWa + Mptc + LogSoce + Hag + MVh",-404.19679190407,0.852349609849545,0.709839997135382,0.667549462184681,0.445622284463056,822.393583808141,5,-0.90603555259015,0.860428933691086,0.740337949932779,0.000415418225703012,NA,-0.00243074958279023,NA,0.233514383073105,NA,-0.178081896501902,0.00257861124640395,NA,NA,308
"logkpl ~ MWa + LogSoce + Hdf + Hag + MVh + Skin.thicknessj",-404.255537497001,0.852505610987441,0.7075973356135,0.667397434909736,0.445419336124095,824.511074994002,6,-1.46703255527044,0.86195568475945,0.742967602489132,-0.00142807038192697,NA,NA,NA,0.222410760352931,-0.17224363714152,-0.0899235130587253,0.00260585895937422,NA,0.295284171125956,309
"logkpl ~ MWa + LogSoce + Hdf + Hag + MVh",-404.266613561096,0.85253502709241,0.707316959453418,0.667368761130785,0.445381063333239,822.533227122192,5,-1.43632597819443,0.860616108482653,0.740660086179826,-0.00144741176006215,NA,NA,NA,0.222047532673567,-0.172545455905668,-0.0899157280427486,0.00260780735677934,NA,NA,310
"logkpl ~ MWa + Mptc + Hdf + MVh + Texpi + Skin.thicknessj",-404.634846625979,0.853513568267201,0.708156987415534,0.666413645948704,0.444107147506644,825.269693251957,6,-7.20459960140621,0.862974815303679,0.744725531848418,-0.000767336245146936,NA,-0.00298195877577384,NA,NA,-0.335057037572696,NA,0.000901175276685522,0.0206599307261109,-0.14462762008274,311
