"x_predictor","modifier_predictor","x_predictor_label","modifier_predictor_label","x","modifier_level","modifier_value","predicted_logkpl"
"MWa","LogSaqd","Molecular weight","Aqueous solubility",123.181818181818,"median",-4.85387196432176,-1.81764468674263
"MWa","LogSaqd","Molecular weight","Aqueous solubility",127.227272727273,"median",-4.85387196432176,-1.83393248264102
"MWa","LogSaqd","Molecular weight","Aqueous solubility",131.272727272727,"median",-4.85387196432176,-1.85022027853942
"MWa","LogSaqd","Molecular weight","Aqueous solubility",135.318181818182,"median",-4.85387196432176,-1.86650807443782
"MWa","LogSaqd","Molecular weight","Aqueous solubility",139.363636363636,"median",-4.85387196432176,-1.88279587033622
"MWa","LogSaqd","Molecular weight","Aqueous solubility",143.409090909091,"median",-4.85387196432176,-1.89908366623462
"MWa","LogSaqd","Molecular weight","Aqueous solubility",147.454545454545,"median",-4.85387196432176,-1.91537146213302
"MWa","LogSaqd","Molecular weight","Aqueous solubility",151.5,"median",-4.85387196432176,-1.93165925803141
"MWa","LogSaqd","Molecular weight","Aqueous solubility",155.545454545455,"median",-4.85387196432176,-1.94794705392982
"MWa","LogSaqd","Molecular weight","Aqueous solubility",159.590909090909,"median",-4.85387196432176,-1.96423484982821
"MWa","LogSaqd","Molecular weight","Aqueous solubility",163.636363636364,"median",-4.85387196432176,-1.9805226457266
"MWa","LogSaqd","Molecular weight","Aqueous solubility",167.681818181818,"median",-4.85387196432176,-1.99681044162501
"MWa","LogSaqd","Molecular weight","Aqueous solubility",171.727272727273,"median",-4.85387196432176,-2.0130982375234
"MWa","LogSaqd","Molecular weight","Aqueous solubility",175.772727272727,"median",-4.85387196432176,-2.0293860334218
"MWa","LogSaqd","Molecular weight","Aqueous solubility",179.818181818182,"median",-4.85387196432176,-2.0456738293202
"MWa","LogSaqd","Molecular weight","Aqueous solubility",183.863636363636,"median",-4.85387196432176,-2.0619616252186
"MWa","LogSaqd","Molecular weight","Aqueous solubility",187.909090909091,"median",-4.85387196432176,-2.07824942111699
"MWa","LogSaqd","Molecular weight","Aqueous solubility",191.954545454545,"median",-4.85387196432176,-2.0945372170154
"MWa","LogSaqd","Molecular weight","Aqueous solubility",196,"median",-4.85387196432176,-2.11082501291379
"MWa","LogSaqd","Molecular weight","Aqueous solubility",200.045454545455,"median",-4.85387196432176,-2.12711280881219
"MWa","LogSaqd","Molecular weight","Aqueous solubility",204.090909090909,"median",-4.85387196432176,-2.14340060471059
"MWa","LogSaqd","Molecular weight","Aqueous solubility",208.136363636364,"median",-4.85387196432176,-2.15968840060899
"MWa","LogSaqd","Molecular weight","Aqueous solubility",212.181818181818,"median",-4.85387196432176,-2.17597619650738
"MWa","LogSaqd","Molecular weight","Aqueous solubility",216.227272727273,"median",-4.85387196432176,-2.19226399240578
"MWa","LogSaqd","Molecular weight","Aqueous solubility",220.272727272727,"median",-4.85387196432176,-2.20855178830418
"MWa","LogSaqd","Molecular weight","Aqueous solubility",224.318181818182,"median",-4.85387196432176,-2.22483958420258
"MWa","LogSaqd","Molecular weight","Aqueous solubility",228.363636363636,"median",-4.85387196432176,-2.24112738010098
"MWa","LogSaqd","Molecular weight","Aqueous solubility",232.409090909091,"median",-4.85387196432176,-2.25741517599938
"MWa","LogSaqd","Molecular weight","Aqueous solubility",236.454545454545,"median",-4.85387196432176,-2.27370297189778
"MWa","LogSaqd","Molecular weight","Aqueous solubility",240.5,"median",-4.85387196432176,-2.28999076779617
"MWa","LogSaqd","Molecular weight","Aqueous solubility",244.545454545455,"median",-4.85387196432176,-2.30627856369457
"MWa","LogSaqd","Molecular weight","Aqueous solubility",248.590909090909,"median",-4.85387196432176,-2.32256635959297
"MWa","LogSaqd","Molecular weight","Aqueous solubility",252.636363636364,"median",-4.85387196432176,-2.33885415549136
"MWa","LogSaqd","Molecular weight","Aqueous solubility",256.681818181818,"median",-4.85387196432176,-2.35514195138977
"MWa","LogSaqd","Molecular weight","Aqueous solubility",260.727272727273,"median",-4.85387196432176,-2.37142974728816
"MWa","LogSaqd","Molecular weight","Aqueous solubility",264.772727272727,"median",-4.85387196432176,-2.38771754318656
"MWa","LogSaqd","Molecular weight","Aqueous solubility",268.818181818182,"median",-4.85387196432176,-2.40400533908496
"MWa","LogSaqd","Molecular weight","Aqueous solubility",272.863636363636,"median",-4.85387196432176,-2.42029313498336
"MWa","LogSaqd","Molecular weight","Aqueous solubility",276.909090909091,"median",-4.85387196432176,-2.43658093088175
"MWa","LogSaqd","Molecular weight","Aqueous solubility",280.954545454545,"median",-4.85387196432176,-2.45286872678015
"MWa","LogSaqd","Molecular weight","Aqueous solubility",285,"median",-4.85387196432176,-2.46915652267855
"MWa","LogSaqd","Molecular weight","Aqueous solubility",289.045454545455,"median",-4.85387196432176,-2.48544431857695
"MWa","LogSaqd","Molecular weight","Aqueous solubility",293.090909090909,"median",-4.85387196432176,-2.50173211447535
"MWa","LogSaqd","Molecular weight","Aqueous solubility",297.136363636364,"median",-4.85387196432176,-2.51801991037375
"MWa","LogSaqd","Molecular weight","Aqueous solubility",301.181818181818,"median",-4.85387196432176,-2.53430770627214
"MWa","LogSaqd","Molecular weight","Aqueous solubility",305.227272727273,"median",-4.85387196432176,-2.55059550217054
"MWa","LogSaqd","Molecular weight","Aqueous solubility",309.272727272727,"median",-4.85387196432176,-2.56688329806894
"MWa","LogSaqd","Molecular weight","Aqueous solubility",313.318181818182,"median",-4.85387196432176,-2.58317109396734
"MWa","LogSaqd","Molecular weight","Aqueous solubility",317.363636363636,"median",-4.85387196432176,-2.59945888986574
"MWa","LogSaqd","Molecular weight","Aqueous solubility",321.409090909091,"median",-4.85387196432176,-2.61574668576414
"MWa","LogSaqd","Molecular weight","Aqueous solubility",325.454545454545,"median",-4.85387196432176,-2.63203448166253
"MWa","LogSaqd","Molecular weight","Aqueous solubility",329.5,"median",-4.85387196432176,-2.64832227756093
"MWa","LogSaqd","Molecular weight","Aqueous solubility",333.545454545455,"median",-4.85387196432176,-2.66461007345933
"MWa","LogSaqd","Molecular weight","Aqueous solubility",337.590909090909,"median",-4.85387196432176,-2.68089786935773
"MWa","LogSaqd","Molecular weight","Aqueous solubility",341.636363636364,"median",-4.85387196432176,-2.69718566525612
"MWa","LogSaqd","Molecular weight","Aqueous solubility",345.681818181818,"median",-4.85387196432176,-2.71347346115453
"MWa","LogSaqd","Molecular weight","Aqueous solubility",349.727272727273,"median",-4.85387196432176,-2.72976125705292
"MWa","LogSaqd","Molecular weight","Aqueous solubility",353.772727272727,"median",-4.85387196432176,-2.74604905295131
"MWa","LogSaqd","Molecular weight","Aqueous solubility",357.818181818182,"median",-4.85387196432176,-2.76233684884972
"MWa","LogSaqd","Molecular weight","Aqueous solubility",361.863636363636,"median",-4.85387196432176,-2.77862464474811
"MWa","LogSaqd","Molecular weight","Aqueous solubility",365.909090909091,"median",-4.85387196432176,-2.79491244064651
"MWa","LogSaqd","Molecular weight","Aqueous solubility",369.954545454545,"median",-4.85387196432176,-2.81120023654491
"MWa","LogSaqd","Molecular weight","Aqueous solubility",374,"median",-4.85387196432176,-2.82748803244331
"MWa","LogSaqd","Molecular weight","Aqueous solubility",378.045454545455,"median",-4.85387196432176,-2.84377582834171
"MWa","LogSaqd","Molecular weight","Aqueous solubility",382.090909090909,"median",-4.85387196432176,-2.86006362424011
"MWa","LogSaqd","Molecular weight","Aqueous solubility",386.136363636364,"median",-4.85387196432176,-2.8763514201385
"MWa","LogSaqd","Molecular weight","Aqueous solubility",390.181818181818,"median",-4.85387196432176,-2.8926392160369
"MWa","LogSaqd","Molecular weight","Aqueous solubility",394.227272727273,"median",-4.85387196432176,-2.9089270119353
"MWa","LogSaqd","Molecular weight","Aqueous solubility",398.272727272727,"median",-4.85387196432176,-2.9252148078337
"MWa","LogSaqd","Molecular weight","Aqueous solubility",402.318181818182,"median",-4.85387196432176,-2.9415026037321
"MWa","LogSaqd","Molecular weight","Aqueous solubility",406.363636363636,"median",-4.85387196432176,-2.95779039963049
"MWa","LogSaqd","Molecular weight","Aqueous solubility",410.409090909091,"median",-4.85387196432176,-2.9740781955289
"MWa","LogSaqd","Molecular weight","Aqueous solubility",414.454545454545,"median",-4.85387196432176,-2.99036599142729
"MWa","LogSaqd","Molecular weight","Aqueous solubility",418.5,"median",-4.85387196432176,-3.00665378732569
"MWa","LogSaqd","Molecular weight","Aqueous solubility",18,"90th percentile",-1.99139982823808,-3.16043947941652
"MWa","LogSaqd","Molecular weight","Aqueous solubility",22.0454545454545,"90th percentile",-1.99139982823808,-3.16622530048218
"MWa","LogSaqd","Molecular weight","Aqueous solubility",26.0909090909091,"90th percentile",-1.99139982823808,-3.17201112154785
"MWa","LogSaqd","Molecular weight","Aqueous solubility",30.1363636363636,"90th percentile",-1.99139982823808,-3.17779694261352
"MWa","LogSaqd","Molecular weight","Aqueous solubility",34.1818181818182,"90th percentile",-1.99139982823808,-3.18358276367918
"MWa","LogSaqd","Molecular weight","Aqueous solubility",38.2272727272727,"90th percentile",-1.99139982823808,-3.18936858474486
"MWa","LogSaqd","Molecular weight","Aqueous solubility",42.2727272727273,"90th percentile",-1.99139982823808,-3.19515440581052
