"compound_id","CAS.No","Compound","logkpl","MWa","Mptc","LogSaqd","LogSoce","Texpi"
"52-39-1","52-39-1","aldosterone",-4.23657200643706,360.45,437,-7,-5.92,298
"52-39-1","52-39-1","aldosterone",-4.74835790885864,360.4,437,-6.70694340910248,-5.97694340910248,308
"52-39-1","52-39-1","aldosterone",-4.30102999566398,360.4,437,-7,-6.27,298
"52-39-1","52-39-1","aldosterone",-4.52287874528034,360.45,437,-6.85387196432176,-6.12387196432176,298
"52-39-1","52-39-1","aldosterone",-4.52287874528034,360.45,437,-5.88474717192386,-5.15474717192386,298
"52-39-1","52-39-1","aldosterone",-4.01233373507373,360.45,437,-5.71714977205376,-4.98714977205376,310
"53-06-5","53-06-5","cortisone",-3.82390874094432,360.5,495,-6.10790539730952,-4.86790539730952,310
"53-06-5","53-06-5","cortisone",-5,360.5,495,-6.09151498112135,-4.85151498112135,299
"53-16-7","53-16-7","estrone",-2.44369749923271,270.4,528,-6.92081875395237,-3.23081875395237,299
"53-96-3","53-96-3","2-(acetylamino)fluorene",-1.16052197602182,223.27,467,-7.4448196116801,-4.3248196116801,305
"53-96-3","53-96-3","2-(acetylamino)fluorene",-1.10756666442663,223.27,467,-7.4448196116801,-4.3248196116801,305
"533-73-3","533-73-3","1,2,4-benzenetriol",-3.9,126.11,413.5,-2.34010480931319,-1.54010480931319,310
"53535-33-4","53535-33-4","heptanol",-1.42481215507234,116.2,238,-4.85387196432176,-2.38387196432176,303
"53535-33-4","53535-33-4","heptanol",-1.49485002168009,116.2,238,-4.85387196432176,-2.38387196432176,298
"53535-33-4","53535-33-4","n-heptanol",-1.49485002168009,116.2,237,-4.7010993256662,-2.0810993256662,310
"554-84-7","554-84-7","m-nitrophenol; 3-nitrophenol",-2.24848294855394,139.1,370,-4.03151705144607,-2.10151705144606,298
"56-81-5","56-81-5","glycerol",-4.56863623584101,92.1,291.2,-1.24031165376521,-3.04031165376521,310
"56-81-5","56-81-5","glycerol",-3.00594693641232,92,291.2,-1.24031165376521,-3.2003116537652,310
"56030-54-7","56030-54-7","sufentanil base",-1.81815641205523,386.5,370,-6.56863623584101,-3.14863623584101,310
"57-13-6","57-13-6","urea",-3.82973828460504,60.1,406,-1.88605664769316,-3.99605664769316,310
"57-13-6","57-13-6","urea",-3.95233580539844,60.1,406,-2.04095860767891,-4.15095860767891,310
"57-13-6","57-13-6","urea",-3.92564441915299,60.1,406,-1.85387196432176,-3.96387196432176,310
"57-13-6","57-13-6","urea",-3.69494112531286,60.1,406,-2.01772876696043,-4.12772876696043,300
"57-13-6","57-13-6","urea",-3.55495653854982,60.1,406,-1.85387196432176,-3.96387196432176,312
"57-13-6","57-13-6","urea",-3.5970511706556,60.1,406,-1.85387196432176,-3.96387196432176,310
"57-13-6","57-13-6","urea",-3.55720677406023,60.1,406,-1.85387196432176,-3.96387196432176,310
"57-50-1","57-50-1","sucrose",-5.0268721464003,342.3,459,-2.03621217265444,-5.88621217265444,310
"57-50-1","57-50-1","sucrose",-5.2839966563652,342.3,459,-2.21467016498923,-6.06467016498923,298
"57-50-1","57-50-1","sucrose",-4.76200316671127,342.3,459,-2.03621217265444,-5.88621217265444,310
"57-50-1","57-50-1","sucrose",-4.26905630657226,342.3,459,-2.03621217265444,-5.88621217265444,310
"57-50-1","57-50-1","sucrose",-4.36451625318509,342.3,459,-2.03621217265444,-5.88621217265444,310
"57-50-1","57-50-1","sucrose",-3.13406733180681,342.3,459,-2.03621217265444,-5.88621217265444,310
"57-83-0","57-83-0","progesterone",-1.52287874528034,314.45999,394,-7.53760200210104,-3.76760200210104,310
"57-83-0","57-83-0","progesterone",-1.70344032687277,314.5,394,-7.42639853502674,-3.38639853502674,308
"57-83-0","57-83-0","progesterone",-1.88605664769316,314.5,394,-7.53760200210104,-3.49760200210104,298
"57-83-0","57-83-0","progesterone",-1.69897000433602,314.45999,394,-7.55284196865778,-3.78287416732834,298
"57-83-0","57-83-0","progesterone",-2.82390874094432,314.5,394,-7.53760200210104,-3.49760200210104,299
"58-08-2","58-08-2","caffeine",-3.80687540164554,194.2,509,-3.88605664769316,-3.95605664769316,310
"58-08-2","58-08-2","caffeine",-4.58586563707645,194.2,511,-3.84264502229839,-3.92264502229839,303
"58-08-2","58-08-2","caffeine",-1.60220380347052,194.2,511,-3.84241286385707,-3.92241286385707,305
"58-08-2","58-08-2","caffeine",-2.60631808276205,194.2,511,-3.84241286385707,-3.92241286385707,305
"58-08-2","58-08-2","caffeine",-4.15490195998574,194.194,511,-3.67649701887839,-3.75649701887839,305
"58-08-2","58-08-2","caffeine",-3.69897000433602,194.2,511,-3.8779782613198,-3.9579782613198,305
"58-22-0","58-22-0","testosterone",-2.0571655062299,288.42,428,-6.98290411779263,-3.50290411779263,303
"58-22-0","58-22-0","testosterone",-2.04694894237348,288.42001,428,-7.07572071393812,-3.59572071393812,310
"58-22-0","58-22-0","testosterone",-1.64633962279966,288.42,428,-7.00097615680496,-3.68097615680496,305
"58-22-0","58-22-0","testosterone",-1.41570671752568,288.42,428,-7.00097615680496,-3.52097615680496,305
