"logKowb","Mptc","LogSaqd","LogSoce","Mpt_C","GSE_logS"
-3.67,354,-3.34142505354878,-7.01142505354878,80.85,3.6115
-4.3,354,-3.34142505354878,-7.64142505354878,80.85,4.2415
-0.99,298,-1.95860731484178,-2.94860731484178,24.85,1.4915
0.03,397,-3.39794000867204,-3.36794000867204,123.85,-0.5185
1.08,437,-7,-5.92,163.85,-1.9685
0.73,437,-6.70694340910248,-5.97694340910248,163.85,-1.6185
0.73,437,-7,-6.27,163.85,-1.6185
0.73,437,-6.85387196432176,-6.12387196432176,163.85,-1.6185
0.73,437,-5.88474717192386,-5.15474717192386,163.85,-1.6185
0.73,437,-5.71714977205376,-4.98714977205376,163.85,-1.6185
1.24,495,-6.10790539730952,-4.86790539730952,221.85,-2.7085
1.24,495,-6.09151498112135,-4.85151498112135,221.85,-2.7085
3.69,528,-6.92081875395237,-3.23081875395237,254.85,-5.4885
3.12,467,-7.4448196116801,-4.3248196116801,193.85,-4.3085
3.12,467,-7.4448196116801,-4.3248196116801,193.85,-4.3085
0.8,413.5,-2.34010480931319,-1.54010480931319,140.35,-1.4535
2.47,238,-4.85387196432176,-2.38387196432176,-35.15,-1.3685
2.47,238,-4.85387196432176,-2.38387196432176,-35.15,-1.3685
2.62,237,-4.7010993256662,-2.0810993256662,-36.15,-1.5085
1.93,370,-4.03151705144607,-2.10151705144606,96.85,-2.1485
-1.8,291.2,-1.24031165376521,-3.04031165376521,18.05,2.3695
-1.96,291.2,-1.24031165376521,-3.2003116537652,18.05,2.5295
3.42,370,-6.56863623584101,-3.14863623584101,96.85,-3.6385
-2.11,406,-1.88605664769316,-3.99605664769316,132.85,1.5315
-2.11,406,-2.04095860767891,-4.15095860767891,132.85,1.5315
-2.11,406,-1.85387196432176,-3.96387196432176,132.85,1.5315
-2.11,406,-2.01772876696043,-4.12772876696043,132.85,1.5315
-2.11,406,-1.85387196432176,-3.96387196432176,132.85,1.5315
-2.11,406,-1.85387196432176,-3.96387196432176,132.85,1.5315
-2.11,406,-1.85387196432176,-3.96387196432176,132.85,1.5315
